Vernacular;Family;Genus;Species
koko;Chrysobalanaceae;Licania;sprucei
maho rouge;Lecythidaceae;Lecythis;persistens
topi;Melastomataceae;Mouriri;crassifolia
gaan moni;Burseraceae;Protium;opacum
wakapu;Fabaceae;Vouacapoua;americana
boliken koko;Chrysobalanaceae;Licania;heteromorpha
bakuman;Sapotaceae;Pouteria;bangii
wapa;Fabaceae;Eperua;falcata
weti apisi;Siparunaceae;Siparuna;decipiens
kakabuku;Fabaceae;Swartzia;panacoco
bofom peto;Dichapetalaceae;Tapura;capitulifera
niamisi udu;Proteaceae;Euplassa;pinnata
buguni;Fabaceae;Inga;loubryana
Hevea;Euphorbiaceae;Hevea;guianensis
koko;Chrysobalanaceae;Licania;parvifructa
diagidia;Fabaceae;Tachigali;melinonii
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
gaan moni;Proteaceae;Euplassa;pinnata
maho noir;Lecythidaceae;Eschweilera;decolorans
maho cochon;Malvaceae;Sterculia;pruriens
yayamadou montagne;Myristicaceae;Virola;michelii
man tapuhupa;Primulaceae;Cybianthus;microbotrys
santi koko;Chrysobalanaceae;Licania;micrantha
wata tiki;Euphorbiaceae;Sandwithia;guyanensis
busi kosu;Elaeocarpaceae;Sloanea;guianensis
lebi koko;Chrysobalanaceae;Licania;alba
lebi koko;Chrysobalanaceae;Licania;alba
aso udu;Annonaceae;Unonopsis;rufescens
topi;Melastomataceae;Mouriri;dumetosa
satin‚ ruban‚;Moraceae;Brosimum;rubescens
busi mango;Clusiaceae;Tovomita;sp.2CAY-ATDN
wapa;Fabaceae;Eperua;falcata
mapa;Apocynaceae;Ambelania;acida
lebi sali;Meliaceae;Trichilia;schomburgkii
boco;Fabaceae;Bocoa;prouacensis
lebi koko;Chrysobalanaceae;Licania;alba
Symphonia;Clusiaceae;Symphonia;sp.1
singabasu;Sapindaceae;Vouarana;guianensis
busi mango;Clusiaceae;Tovomita;sp.2CAY-ATDN
bakuman;Sapotaceae;Pouteria;torta
muamba;Annonaceae;Oxandra;asbeckii
tingi moni;Burseraceae;Protium;plagiocarpium
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
koko;Chrysobalanaceae;Hirtella;bicornis
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
matawai gedu;Fabaceae;Tachigali;richardiana
maho rouge;Lecythidaceae;Lecythis;persistens
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
Symphonia;Clusiaceae;Symphonia;sp.1
comou;Arecaceae;Oenocarpus;bacaba
koko;Chrysobalanaceae;Hirtella;bicornis
wapa;Fabaceae;Eperua;falcata
busi mango;Clusiaceae;Tovomita;sp.9CAY-ATDN
parcouri;Clusiaceae;Platonia;insignis
boliken koko;Chrysobalanaceae;Couepia;guianensis
santi koko;Chrysobalanaceae;Licania;membranacea
maho noir;Lecythidaceae;Lecythis;persistens
maho rouge;Lecythidaceae;Lecythis;persistens
boliken koko;Chrysobalanaceae;Licania;heteromorpha
koko;Linaceae;Hebepetalum;humiriifolium
boliken koko;Chrysobalanaceae;Licania;heteromorpha
boliken koko;Chrysobalanaceae;Licania;heteromorpha
acacia franc;Fabaceae;Enterolobium;schomburgkii
boliken koko;Chrysobalanaceae;Licania;heteromorpha
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
busi kosu;Elaeocarpaceae;Sloanea;sp.21CAY-ATDN
wapa;Fabaceae;Eperua;falcata
Eperua grandiflora;Fabaceae;Eperua;grandiflora
Symphonia;Clusiaceae;Symphonia;sp.1
busi mango;Clusiaceae;Tovomita;obovata
maho rouge;Lecythidaceae;Lecythis;persistens
maho cigare;Lecythidaceae;Couratari;multiflora
maho rouge;Lecythidaceae;Lecythis;persistens
boliken koko;Chrysobalanaceae;Licania;heteromorpha
kukuniefu;Clusiaceae;Garcinia;madruno
carapa;Meliaceae;Carapa;surinamensis
busi mango;Clusiaceae;Tovomita;sp.2CAY-ATDN
santi koko;Chrysobalanaceae;Licania;membranacea
lebi koko;Chrysobalanaceae;Licania;alba
wapa;Fabaceae;Eperua;falcata
diaba udu;Malvaceae;Theobroma;subincanum
boliken koko;Chrysobalanaceae;Licania;heteromorpha
muamba;Annonaceae;Oxandra;asbeckii
boco;Fabaceae;Bocoa;prouacensis
maho rouge;Lecythidaceae;Lecythis;persistens
manil;Clusiaceae;Moronobea;coccinea
weko;Malpighiaceae;Byrsonima;laevigata
mamadosu;Phyllanthaceae;Hieronyma;oblonga
bakuman;Sapotaceae;Pouteria;bangii
wapa;Fabaceae;Eperua;falcata
busi banda;Myrtaceae;Indet.Indet.;Indet.
weti paya;Moraceae;Brosimum;guianense
baaka koko;Chrysobalanaceae;Licania;membranacea
busi kosu;Anacardiaceae;Thyrsodium;guianense
topi;Chrysobalanaceae;Hirtella;bicornis
meli;Lecythidaceae;Eschweilera;congestiflora
maho rouge;Lecythidaceae;Lecythis;persistens
patawa;Arecaceae;Oenocarpus;bataua
maripa;Arecaceae;Attalea;maripa
boliken koko;Indet.;Indet.Indet.;Indet.
boliken koko;Chrysobalanaceae;Licania;heteromorpha
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
muamba;Annonaceae;Oxandra;asbeckii
cŠdre cannelle;Lauraceae;Licaria;cannella
busi mango;Clusiaceae;Tovomita;sp.11 CAY-ATDN
weti udu;Euphorbiaceae;Mabea;piriri
podo tiki;Chrysobalanaceae;Licania;heteromorpha
efea;Euphorbiaceae;Hevea;guianensis
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
mesupu;Melastomataceae;Miconia;tschudyoides
tatu udu;Sapindaceae;Talisia;Indet.
baaka koko;Chrysobalanaceae;Licania;membranacea
jacaranda;Bignoniaceae;Jacaranda;copaia
wapa courbaril;Fabaceae;Eperua;grandiflora
maho noir;Lecythidaceae;Eschweilera;decolorans
maho noir;Lecythidaceae;Eschweilera;decolorans
mulomba;Annonaceae;Oxandra;asbeckii
Hevea;Euphorbiaceae;Hevea;guianensis
maho rouge;Clusiaceae;Moronobea;coccinea
weko;Fabaceae;Inga;Indet.
encens;Burseraceae;Protium;subserratum
wapa;Fabaceae;Eperua;falcata
maho rouge;Lecythidaceae;Lecythis;persistens
-;Indet.;Indet.Indet.;Indet.
encens;Burseraceae;Protium;subserratum
podo tiki;Annonaceae;Indet.Indet.;Indet.
kukuniefu;Clusiaceae;Garcinia;benthamiana
meli;Lecythidaceae;Eschweilera;congestiflora
muamba;Annonaceae;Oxandra;asbeckii
wakapu;Fabaceae;Vouacapoua;americana
wan ede;Simaroubaceae;Simaba;cedron
koko;Chrysobalanaceae;Licania;canescens
niamboka;Sapotaceae;Pouteria;guianensis
lebi koko;Chrysobalanaceae;Licania;alba
mesupu;Melastomataceae;Miconia;tschudyoides
boliken koko;Chrysobalanaceae;Licania;heteromorpha
singabasu;Sapindaceae;Cupania;scrobiculata
muamba;Annonaceae;Oxandra;asbeckii
ang‚lique;Fabaceae;Dicorynia;guianensis
busi banda;Myrtaceae;Indet.Indet.;Indet.
maho noir;Lecythidaceae;Eschweilera;Indet.
boliken koko;Chrysobalanaceae;Licania;heteromorpha
encens;Burseraceae;Protium;subserratum
koko;Chrysobalanaceae;Licania;canescens
Symphonia;Clusiaceae;Symphonia;sp.1
maho noir;Lecythidaceae;Eschweilera;sagotiana
muamba;Annonaceae;Oxandra;asbeckii
-;Indet.;Indet.Indet.;Indet.
Symphonia;Clusiaceae;Symphonia;globulifera
wapa;Fabaceae;Eperua;falcata
wapa;Fabaceae;Eperua;falcata
maho noir;Lecythidaceae;Eschweilera;wachenheimii
maho cochon;Malvaceae;Sterculia;pruriens
lebi koko;Chrysobalanaceae;Licania;alba
wapa;Fabaceae;Eperua;falcata
kukuniefu;Clusiaceae;Garcinia;benthamiana
Symphonia;Clusiaceae;Symphonia;sp.1
wapa;Fabaceae;Eperua;falcata
maho noir;Lecythidaceae;Eschweilera;decolorans
diapapa‹e;Urticaceae;Cecropia;sciadophylla
Symphonia;Clusiaceae;Symphonia;sp.1
wapa;Fabaceae;Eperua;falcata
Symphonia;Clusiaceae;Symphonia;sp.1
Hevea;Euphorbiaceae;Hevea;guianensis
sipiki udu;Euphorbiaceae;Chaetocarpus;schomburgkianus
mapa;Apocynaceae;Ambelania;acida
agusiton;Rubiaceae;Posoqueria;latifolia
aganananga;Malvaceae;Catostemma;fragrans
wapa;Fabaceae;Eperua;falcata
busi mango;Clusiaceae;Tovomita;sp.5CAY-ATDN
Moronobea;Clusiaceae;Moronobea;coccinea
maho rouge;Lecythidaceae;Lecythis;persistens
Symphonia;Clusiaceae;Symphonia;sp.1
aganananga;Malvaceae;Catostemma;fragrans
maho rouge;Lecythidaceae;Lecythis;persistens
maho rouge;Lecythidaceae;Lecythis;persistens
Symphonia;Clusiaceae;Symphonia;sp.1
wapa;Fabaceae;Eperua;falcata
muamba;Annonaceae;Oxandra;asbeckii
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
busi mango;Clusiaceae;Tovomita;sp.2CAY-ATDN
muamba;Annonaceae;Oxandra;asbeckii
wapa;Fabaceae;Eperua;falcata
mapa;Apocynaceae;Lacmellea;aculeata
Symphonia;Clusiaceae;Symphonia;sp.1
maho noir;Lecythidaceae;Eschweilera;sagotiana
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
pepe boiti;Sapotaceae;Chrysophyllum;prieurii
weti paya;Moraceae;Trymatococcus;oligandrus
mapa;Apocynaceae;Ambelania;acida
bugu bugu;Fabaceae;Swartzia;polyphylla
maho rouge;Lecythidaceae;Eschweilera;sagotiana
busi banda;Myrtaceae;Eugenia;exaltata
boco;Fabaceae;Bocoa;prouacensis
maho rouge;Lecythidaceae;Lecythis;persistens
tossopassa mar‚cage;Myristicaceae;Iryanthera;hostmannii
pepe angasa udu;Annonaceae;Duguetia;calycina
wakapu gitin;Fabaceae;Recordoxylon;speciosum
Symphonia;Clusiaceae;Symphonia;sp.1
santi koko;Chrysobalanaceae;Licania;micrantha
diankoi mata;Meliaceae;Guarea;pubescens
busi mango;Clusiaceae;Tovomita;obovata
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
bofom peto;Dichapetalaceae;Tapura;capitulifera
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
mutsenge tsenge;Chrysobalanaceae;Parinari;montana
bofom peto;Dichapetalaceae;Tapura;capitulifera
maho cochon;Malvaceae;Sterculia;pruriens
kukuniefu;Clusiaceae;Garcinia;benthamiana
bois saint jean;Araliaceae;Schefflera;decaphylla
meli;Lecythidaceae;Eschweilera;congestiflora
Symphonia;Clusiaceae;Symphonia;sp.1
boliken koko;Chrysobalanaceae;Licania;heteromorpha
maho rouge;Lecythidaceae;Lecythis;persistens
maho noir;Lecythidaceae;Eschweilera;sagotiana
pepe angasa udu;Annonaceae;Duguetia;calycina
meli;Lecythidaceae;Eschweilera;congestiflora
bakuman;Sapotaceae;Micropholis;venulosa
maho noir;Lecythidaceae;Eschweilera;sagotiana
akoinsiba;Sapotaceae;Pouteria;ambelaniifolia
baaka mapa;Apocynaceae;Couma;guianensis
koko;Chrysobalanaceae;Licania;sprucei
maho noir;Lecythidaceae;Eschweilera;sagotiana
boliken koko;Chrysobalanaceae;Licania;heteromorpha
busi kosu;Elaeocarpaceae;Sloanea;sp.21CAY-ATDN
maho noir;Lecythidaceae;Lecythis;persistens
bakuman;Sapotaceae;Ecclinusa;ramiflora
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho rouge;Lecythidaceae;Lecythis;persistens
busi kosu;Elaeocarpaceae;Sloanea;laxiflora
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Lecythis;persistens
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Eschweilera;decolorans
maho noir;Lecythidaceae;Lecythis;persistens
maho noir;Lecythidaceae;Lecythis;persistens
akoinsiba;Sapotaceae;Micropholis;egensis
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Lecythis;persistens
maho noir;Lecythidaceae;Lecythis;persistens
maho rouge;Lecythidaceae;Lecythis;persistens
busi kosu;Elaeocarpaceae;Sloanea;sp.24CAY-ATDN
aganananga;Malvaceae;Catostemma;fragrans
weti koko;Linaceae;Hebepetalum;humiriifolium
topi;Melastomataceae;Mouriri;crassifolia
maho noir;Lecythidaceae;Eschweilera;sagotiana
koko;Icacinaceae;Poraqueiba;guianensis
goupi;Goupiaceae;Goupia;glabra
weti udu;Loganiaceae;Antonia;ovata
maho noir;Lecythidaceae;Eschweilera;sagotiana
muamba;Annonaceae;Oxandra;asbeckii
diankatu;Celastraceae;Maytenus;oblongata
topi;Melastomataceae;Mouriri;crassifolia
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
maho noir;Lecythidaceae;Eschweilera;sagotiana
bofom peto;Dichapetalaceae;Tapura;capitulifera
encens;Burseraceae;Protium;giganteum
Symphonia;Clusiaceae;Symphonia;sp.1
maho rouge;Lecythidaceae;Lecythis;persistens
maho noir;Lecythidaceae;Lecythis;persistens
bakuman;Sapotaceae;Micropholis;guyanensis
maho noir;Lecythidaceae;Eschweilera;sagotiana
bofom peto;Dichapetalaceae;Tapura;capitulifera
mapa;Apocynaceae;Ambelania;acida
boco;Fabaceae;Bocoa;prouacensis
Symphonia;Clusiaceae;Symphonia;sp.1
weko;Fabaceae;Inga;cayennensis
koko;Chrysobalanaceae;Licania;sprucei
adugue;Fabaceae;Swartzia;guianensis
maho noir;Lecythidaceae;Eschweilera;sagotiana
tossopassa mar‚cage;Myristicaceae;Iryanthera;hostmannii
podo tiki;Annonaceae;Guatteria;schomburgkiana
bofom peto;Dichapetalaceae;Tapura;capitulifera
maho noir;Lecythidaceae;Eschweilera;sagotiana
busi mango;Clusiaceae;Tovomita;obovata
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
santi koko;Chrysobalanaceae;Licania;ovalifolia
malobi;Sapotaceae;Pouteria;singularis
wapa;Fabaceae;Eperua;falcata
lebi koko;Chrysobalanaceae;Licania;alba
sipiki udu;Euphorbiaceae;Chaetocarpus;schomburgkianus
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
adugue;Fabaceae;Swartzia;guianensis
maho noir;Lecythidaceae;Eschweilera;sagotiana
wapa;Fabaceae;Eperua;falcata
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Lecythis;persistens
wakapu gitin;Fabaceae;Recordoxylon;speciosum
lebi koko;Chrysobalanaceae;Licania;alba
wapa;Fabaceae;Eperua;falcata
maho noir;Lecythidaceae;Eschweilera;sagotiana
bakuman;Sapotaceae;Micropholis;venulosa
bofom peto;Dichapetalaceae;Tapura;capitulifera
Symphonia;Clusiaceae;Symphonia;sp.1
funguti koko;Chrysobalanaceae;Licania;densiflora
bofom peto;Dichapetalaceae;Tapura;capitulifera
wakapu gitin;Fabaceae;Recordoxylon;speciosum
maho cigare;Lecythidaceae;Couratari;guianensis
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
wapa;Fabaceae;Eperua;falcata
maho rouge;Lecythidaceae;Lecythis;persistens
bofom peto;Dichapetalaceae;Tapura;capitulifera
kukuniefu;Clusiaceae;Garcinia;benthamiana
bofom peto;Dichapetalaceae;Tapura;capitulifera
maho noir;Lecythidaceae;Eschweilera;sagotiana
Symphonia;Clusiaceae;Symphonia;sp.1
diankoi mata;Salicaceae;Casearia;sylvestris
maho rouge;Lecythidaceae;Lecythis;persistens
lebi koko;Chrysobalanaceae;Licania;alba
pedieku;Annonaceae;Xylopia;nitida
bakuman;Sapotaceae;Micropholis;longipedicellata
Symphonia;Clusiaceae;Symphonia;sp.1
maho noir;Lecythidaceae;Lecythis;persistens
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
grignon franc;Lauraceae;Sextonia;rubra
wapa;Fabaceae;Eperua;falcata
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
wapa;Fabaceae;Eperua;falcata
wapa;Fabaceae;Eperua;falcata
kukuniefu;Clusiaceae;Garcinia;benthamiana
wan ede;Simaroubaceae;Simaba;cedron
lebi koko;Chrysobalanaceae;Licania;alba
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
maho noir;Lecythidaceae;Lecythis;persistens
wapa;Fabaceae;Eperua;falcata
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
maho noir;Lecythidaceae;Lecythis;persistens
lebi koko;Chrysobalanaceae;Licania;alba
lebi koko;Chrysobalanaceae;Licania;alba
lebi koko;Chrysobalanaceae;Licania;alba
kukuniefu;Clusiaceae;Garcinia;madruno
wapa;Fabaceae;Eperua;falcata
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
maho noir;Lecythidaceae;Eschweilera;coriacea
wapa;Fabaceae;Eperua;falcata
kasaba udu;Bignoniaceae;Tabebuia;insignis
wapa;Fabaceae;Eperua;falcata
Symphonia;Clusiaceae;Symphonia;globulifera
maho noir;Lecythidaceae;Eschweilera;wachenheimii
moutouchi savane;Fabaceae;Pterocarpus;officinalis
wapa;Fabaceae;Eperua;falcata
koko;Chrysobalanaceae;Hirtella;glandulosa
neko udu;Fabaceae;Ormosia;coutinhoi
pindia udu;Hypericaceae;Vismia;sessilifolia
maho rouge;Lecythidaceae;Lecythis;persistens
moutouchi savane;Fabaceae;Pterocarpus;officinalis
wapa;Clusiaceae;Symphonia;globulifera
yayamadou mar‚cage;Myristicaceae;Virola;surinamensis
wapa;Fabaceae;Eperua;falcata
agusiton;Rubiaceae;Posoqueria;latifolia
wapa;Fabaceae;Eperua;falcata
lebi koko;Chrysobalanaceae;Licania;alba
maho noir;Lecythidaceae;Lecythis;persistens
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
busi mango;Clusiaceae;Tovomita;macrophylla
lebi koko;Chrysobalanaceae;Licania;alba
busi kosu;Polygonaceae;Coccoloba;mollis
wapa;Fabaceae;Eperua;falcata
wapa;Fabaceae;Eperua;falcata
weti paya;Moraceae;Brosimum;guianense
tatu udu;Sapindaceae;Talisia;praealta
santi koko;Chrysobalanaceae;Licania;ovalifolia
wapa;Fabaceae;Eperua;falcata
wapa;Fabaceae;Eperua;falcata
kukuniefu;Clusiaceae;Garcinia;benthamiana
asao;Fabaceae;Albizia;pedicellaris
adugue;Fabaceae;Swartzia;guianensis
wapa;Fabaceae;Eperua;falcata
wapa;Fabaceae;Eperua;falcata
carapa;Meliaceae;Carapa;surinamensis
Moronobea;Clusiaceae;Moronobea;coccinea
Hevea;Euphorbiaceae;Hevea;guianensis
kukuniefu;Clusiaceae;Garcinia;madruno
funguti koko;Chrysobalanaceae;Licania;micrantha
busi banda;Myrtaceae;Eugenia;anastomosans
maho rouge;Lecythidaceae;Lecythis;persistens
Symphonia;Clusiaceae;Symphonia;sp.1
maho noir;Lecythidaceae;Eschweilera;sagotiana
carapa;Meliaceae;Carapa;surinamensis
wapa;Fabaceae;Eperua;falcata
Symphonia;Clusiaceae;Symphonia;sp.1
maho rouge;Lecythidaceae;Lecythis;persistens
koko;Chrysobalanaceae;Couepia;guianensis
bakuman;Sapotaceae;Micropholis;egensis
aganananga;Malvaceae;Catostemma;fragrans
koko;Chrysobalanaceae;Licania;sprucei
diankatu;Celastraceae;Maytenus;oblongata
dodomisinga;Fabaceae;Parkia;nitida
Symphonia;Clusiaceae;Symphonia;sp.1
wapa;Fabaceae;Eperua;falcata
Symphonia;Clusiaceae;Symphonia;sp.1
kukuniefu;Clusiaceae;Garcinia;madruno
diankatu;Celastraceae;Maytenus;oblongata
maho noir;Lecythidaceae;Eschweilera;sagotiana
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
boco;Fabaceae;Bocoa;prouacensis
wapa;Fabaceae;Eperua;falcata
weko;Fabaceae;Inga;jenmanii
maho noir;Lecythidaceae;Eschweilera;sagotiana
diankoi mata;Meliaceae;Guarea;pubescens
wapa;Fabaceae;Eperua;falcata
anangosi;Combretaceae;Buchenavia;grandis
Eperua grandiflora;Clusiaceae;Moronobea;coccinea
kumanti udu;Opiliaceae;Agonandra;silvatica
sipiki udu;Euphorbiaceae;Chaetocarpus;sp.1CAY-ATDN
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Eschweilera;sagotiana
maho noir;Lecythidaceae;Lecythis;persistens
bakuman;Sapotaceae;Micropholis;guyanensis
diankoi mata;Myrtaceae;Eugenia;pseudopsidium
Moronobea;Clusiaceae;Moronobea;coccinea
weti bakuman;Sapotaceae;Chrysophyllum;prieurii
weti paya;Moraceae;Trymatococcus;oligandrus
bofom peto;Dichapetalaceae;Tapura;capitulifera
diankoi mata;Salicaceae;Casearia;sylvestris
koko;Chrysobalanaceae;Licania;membranacea
maho noir;Lecythidaceae;Eschweilera;sagotiana
koko;Chrysobalanaceae;Hirtella;bicornis
busi banda;Sapotaceae;Pouteria;guianensis
maho coton;Malvaceae;Eriotheca;globosa
maho rouge;Lecythidaceae;Lecythis;persistens
sipiki udu;Euphorbiaceae;Chaetocarpus;schomburgkianus
busi mango;Clusiaceae;Tovomita;sp.2CAY-ATDN
kimboto;Sapotaceae;Pradosia;cochlearia
maho noir;Lecythidaceae;Eschweilera;sagotiana
weti koko;Linaceae;Hebepetalum;humiriifolium
maho noir;Lecythidaceae;Eschweilera;sagotiana
busi kasu;Anacardiaceae;Anacardium;spruceanum
maho noir;Lecythidaceae;Eschweilera;sagotiana
tingi moni;Burseraceae;Protium;subserratum
comou;Arecaceae;Oenocarpus;bacaba
encens;Anacardiaceae;Thyrsodium;guianense
akoinsiba;Sapotaceae;Micropholis;obscura
wakapu gitin;Fabaceae;Recordoxylon;speciosum
maho noir;Lecythidaceae;Eschweilera;sagotiana
weti paya;Moraceae;Brosimum;guianense
koko;Chrysobalanaceae;Licania;sprucei
maho noir;Lecythidaceae;Eschweilera;sagotiana
ang‚lique;Fabaceae;Dicorynia;guianensis
gaan moni;Burseraceae;Protium;tenuifolium
maho coton;Malvaceae;Eriotheca;globosa
kukuniefu;Clusiaceae;Garcinia;madruno
maho noir;Lecythidaceae;Eschweilera;sagotiana
lebi koko;Chrysobalanaceae;Licania;alba
maho noir;Lecythidaceae;Lecythis;persistens
maho noir;Lecythidaceae;Eschweilera;sagotiana
encens;Anacardiaceae;Thyrsodium;guianense
maho noir;Lecythidaceae;Eschweilera;sagotiana
koko;Chrysobalanaceae;Licania;canescens
bofom peto;Dichapetalaceae;Tapura;capitulifera
aso udu;Annonaceae;Unonopsis;rufescens
weti koko;Linaceae;Hebepetalum;humiriifolium
niamboka;Sapotaceae;Pouteria;guianensis
boliken koko;Chrysobalanaceae;Licania;heteromorpha
kimboto;Sapotaceae;Pradosia;cochlearia
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
kusisi;Euphorbiaceae;Conceveiba;guianensis
weti paya;Moraceae;Helicostylis;tomentosa
boliken koko;Chrysobalanaceae;Licania;heteromorpha
encens;Burseraceae;Protium;opacum
wakapu gitin;Fabaceae;Recordoxylon;speciosum
sipiki udu;Euphorbiaceae;Chaetocarpus;schomburgkianus
cŠdre;Myrtaceae;Indet.Myrtaceae;Indet.
wapa;Fabaceae;Eperua;falcata
bofom peto;Dichapetalaceae;Tapura;capitulifera
boco;Fabaceae;Bocoa;prouacensis
Moronobea;Clusiaceae;Moronobea;coccinea
bofom peto;Dichapetalaceae;Tapura;capitulifera
gaan moni;Burseraceae;Protium;tenuifolium
weti paya;Moraceae;Brosimum;guianense
busi mango;Clusiaceae;Tovomita;obovata
wapa;Fabaceae;Eperua;falcata
meli;Lecythidaceae;Lecythis;poiteaui
maho noir;Lecythidaceae;Eschweilera;sagotiana
weti sali;Burseraceae;Tetragastris;hostmannii
maho noir;Lecythidaceae;Eschweilera;sagotiana
wapa;Fabaceae;Eperua;falcata
maho rouge;Lecythidaceae;Lecythis;persistens
baaka apisi;Lauraceae;Rhodostemonodaphne;grandis
koko;Chrysobalanaceae;Licania;sprucei
maho noir;Lecythidaceae;Eschweilera;sagotiana
dodomisinga;Fabaceae;Parkia;nitida
Moronobea;Clusiaceae;Moronobea;coccinea
geli koko;Euphorbiaceae;Pogonophora;schomburgkiana
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
wan ede;Simaroubaceae;Simaba;cedron
pedieku;Annonaceae;Xylopia;frutescens
maho noir;Lecythidaceae;Eschweilera;sagotiana
Moronobea;Clusiaceae;Moronobea;coccinea
encens;Burseraceae;Protium;opacum
Symphonia;Clusiaceae;Symphonia;sp.1
muamba;Annonaceae;Oxandra;asbeckii
muamba;Annonaceae;Oxandra;asbeckii
maho noir;Lecythidaceae;Eschweilera;sagotiana
ang‚lique;Fabaceae;Dicorynia;guianensis
saint martin rouge;Fabaceae;Andira;coriacea
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
funguti koko;Chrysobalanaceae;Parinari;campestris
wapa;Fabaceae;Eperua;falcata
akoinsiba;Sapotaceae;Chrysophyllum;argenteum
diankatu;Celastraceae;Maytenus;sp.7CAY-ATDN
busi mango;Clusiaceae;Tovomita;obovata
agusiton;Rubiaceae;Posoqueria;latifolia
kukuniefu;Clusiaceae;Garcinia;benthamiana
busi kasu;Anacardiaceae;Anacardium;spruceanum
bofom peto;Dichapetalaceae;Tapura;capitulifera
Moronobea;Clusiaceae;Moronobea;coccinea
tatu udu;Sapindaceae;Talisia;praealta
malobi;Sapotaceae;Ecclinusa;guianensis
lebi koko;Chrysobalanaceae;Licania;alba
maho noir;Lecythidaceae;Eschweilera;sagotiana
wapa;Fabaceae;Eperua;falcata
lebi koko;Chrysobalanaceae;Licania;alba
wapa;Fabaceae;Eperua;falcata
wakapu gitin;Fabaceae;Recordoxylon;speciosum
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
diankatu;Celastraceae;Maytenus;oblongata
lebi koko;Chrysobalanaceae;Licania;alba
wapa;Fabaceae;Eperua;falcata
agusiton;Rubiaceae;Posoqueria;latifolia
bakuman;Sapotaceae;Micropholis;guyanensis
wapa;Meliaceae;Carapa;surinamensis
wakapu gitin;Fabaceae;Recordoxylon;speciosum
carapa;Meliaceae;Carapa;surinamensis
weko;Fabaceae;Inga;nouragensis
mapa;Apocynaceae;Ambelania;acida
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
weko;Fabaceae;Inga;nouragensis
wapa;Fabaceae;Eperua;falcata
aganananga;Malvaceae;Catostemma;fragrans
santi koko;Chrysobalanaceae;Licania;membranacea
maho cochon;Malvaceae;Sterculia;multiovula
weko;Sapindaceae;Talisia;hexaphylla
mapa;Apocynaceae;Ambelania;acida
wapa;Fabaceae;Eperua;falcata
akoinsiba;Sapotaceae;Chrysophyllum;argenteum
funguti koko;Chrysobalanaceae;Licania;ovalifolia
maho noir;Lecythidaceae;Eschweilera;sagotiana
busi banda;Myrtaceae;Eugenia;anastomosans
busi mango;Clusiaceae;Tovomita;sp.11CAY-ATDN
kukuniefu;Clusiaceae;Garcinia;benthamiana
geli koko;Chrysobalanaceae;Licania;alba
kimboto;Sapotaceae;Pradosia;cochlearia
wakapu gitin;Fabaceae;Recordoxylon;speciosum
santi koko;Chrysobalanaceae;Licania;membranacea
wapa;Fabaceae;Eperua;falcata
kusisi;Euphorbiaceae;Conceveiba;guianensis
lebi koko;Chrysobalanaceae;Licania;alba
kumanti udu;Apocynaceae;Rauvolfia;paraensis
man tapuhupa;Lecythidaceae;Gustavia;hexapetala
bakuman;Sapotaceae;Pouteria;ambelaniifolia
meli;Lecythidaceae;Eschweilera;sagotiana
adugue;Fabaceae;Swartzia;guianensis
